group,condition,n,fire_condition_rate,control_condition_rate,matched_risk_diff,date_boot_ci_low,date_boot_ci_high,matched_prevalence_ratio,matched_or_approx,paired_t_p,date_n,cell_n,support_flag,paired_t_q
영동 해안형,ah_local_q10,354,0.22033898305084745,0.10451977401129943,0.11581920903954802,0.008244833151127074,0.2318756995011952,2.108108097506209,2.4037371910789633,2.487147723105172e-06,165,21,ok,3.855078970813017e-05
영동 해안형,ah_local_q20,354,0.2994350282485876,0.22919020715630883,0.07024482109227873,-0.03846727566453039,0.1937332628197594,1.3064913708895078,1.435163040307998,0.010315226713851664,165,21,ok,0.022053243319269077
영동 해안형,vpd_local_q80,354,0.21468926553672316,0.22693032015065917,-0.012241054613935962,-0.08488432487276944,0.056468341683858884,0.9460580915240094,0.9316663273427231,0.6253326779461155,165,21,ok,0.6923326077260564
영동 해안형,vpd_local_q90,354,0.10734463276836158,0.1278719397363465,-0.020527306967984934,-0.058681334339116584,0.023940420102080875,0.8394698097973716,0.8219095648532004,0.27692952373566154,165,21,ok,0.35040062186961257
영동 해안형,vpd_local_q95,354,0.05367231638418079,0.07796610169491526,-0.02429378531073446,-0.05775899621212121,0.012361937598005709,0.6884058010979834,0.6761618872347533,0.08242587158035446,165,21,ok,0.13103600097389684
영서 내륙형,rh_le_20,615,0.04878048780487805,0.03414634146341464,0.014634146341463415,-0.01107567014058358,0.046762246012672044,1.4285714160204084,1.4404107004547893,0.09697757532218484,208,41,ok,0.14516141966682425
영서 내륙형,rh_le_30,615,0.1902439024390244,0.1456910569105691,0.04455284552845528,-0.001216547007489012,0.09013856951231197,1.3058035693295849,1.375786627362665,0.0031511904863356084,208,41,ok,0.008140575423033656
영서 내륙형,rh_le_40,615,0.3723577235772358,0.296260162601626,0.07609756097560975,0.01660725067959462,0.13852785145888594,1.2568605918882039,1.4082615871882946,1.0587371001953978e-05,208,41,ok,0.00010940283368685777
영서 내륙형,ah_le_2,615,0.9967479674796748,0.9990243902439024,-0.0022764227642276427,-0.005843955439107883,0.0006742622550550501,0.9977213541689475,0.4389982110912303,0.22330282302336177,208,41,ok,0.29456968143507295
영서 내륙형,ah_le_3,615,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,208,41,ok,
영서 내륙형,ah_le_4,615,1.0,1.0,0.0,0.0,0.0,1.0,1.0,,208,41,ok,
영서 내륙형,vpd_ge_0p5,615,0.48292682926829267,0.45333333333333337,0.029593495934959343,-0.030735048128342254,0.0929883192731992,1.0652797703007637,1.1260293591120656,0.07334578462098934,208,41,ok,0.11966943806582471
영서 내륙형,vpd_ge_1p0,615,0.2845528455284553,0.21951219512195122,0.06504065040650407,0.017216679211981206,0.11095031591282324,1.2962962949465022,1.4128150248585345,7.2760773149093316e-06,208,41,ok,9.022335870487572e-05
영서 내륙형,vpd_ge_1p5,615,0.12032520325203253,0.07837398373983741,0.041951219512195125,0.009140888146911521,0.0732142857142857,1.5352697027138824,1.6026608724339757,0.0002923944732815788,208,41,ok,0.0012085638228971926
영서 내륙형,rh_local_q05,615,0.11219512195121951,0.06991869918699187,0.04227642276422765,-0.002334931746337565,0.10463327491064763,1.6046511541427801,1.67371254903198,0.0019930462595190907,208,41,ok,0.0056167667313719825
영서 내륙형,rh_local_q10,615,0.1821138211382114,0.127479674796748,0.054634146341463415,-0.006476623958471513,0.12370582327603372,1.428571425209548,1.5210069437889147,0.0012912265473399372,208,41,ok,0.004213476101846111
영서 내륙형,rh_local_q20,615,0.3040650406504065,0.23934959349593493,0.06471544715447154,-0.012374240465416936,0.13974001746447565,1.2703804336529625,1.3873757790595433,0.0015702910964198805,208,41,ok,0.004867902398901629
영서 내륙형,ah_local_q05,615,0.09268292682926829,0.06666666666666667,0.026016260162601626,-0.02898316062176166,0.0979945873073363,1.3902438965853658,1.4252354089590231,0.042457714185828416,208,41,ok,0.07312161887559337
영서 내륙형,ah_local_q10,615,0.16097560975609757,0.11382113821138211,0.04715447154471545,-0.025440672395173034,0.13503363066538085,1.4142857106459186,1.4905906503813864,0.003342517970351744,208,41,ok,0.008289444566472326
영서 내륙형,ah_local_q20,615,0.26991869918699185,0.22634146341463413,0.043577235772357725,-0.047483457391494725,0.13655211390218897,1.1925287347815723,1.2628992844192584,0.026271547604266206,208,41,ok,0.047906939748956025
영서 내륙형,vpd_local_q80,615,0.3170731707317073,0.2539837398373984,0.06308943089430893,-0.02220530827078208,0.14522005834160137,1.248399486858094,1.3627249597259772,0.003908376388158312,208,41,ok,0.00931997446406982
영서 내륙형,vpd_local_q90,615,0.17398373983739837,0.1330081300813008,0.04097560975609756,-0.010425611638112616,0.0976539125875204,1.308068457341539,1.3709287196636524,0.017415505674548495,208,41,ok,0.034583590994835274
영서 내륙형,vpd_local_q95,615,0.0991869918699187,0.07609756097560975,0.02308943089430894,-0.016628341477436043,0.07077395610681278,1.3034187994315691,1.333508083964183,0.08810724376421092,208,41,ok,0.13656622783452693
