analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,temp,rh,ah,vpd,rh_z,rh_pct,ah_z,ah_pct,vpd_z,vpd_pct
FE_00584_C05,FE_00584,5.0,matched_control,0,YS_0012,2020-06-17 11:00:00,영서 내륙형,6,11,2020-06-17,27.64,48.29,1.2876758706704496,1.913940235513334,-0.7534172305572991,0.23333333333333334,0.04026815303888879,0.5,0.9188581252639533,0.8666666666666667
FE_00585_C01,FE_00585,1.0,matched_control,0,YS_0012,2020-10-02 18:00:00,영서 내륙형,10,18,2020-10-02,18.34,74.45,1.1669846913866744,0.5387113308416964,0.4916848901952565,0.7258064516129032,1.014910936994178,0.8064516129032258,0.19061592603920807,0.6935483870967742
FE_00585_C02,FE_00585,2.0,matched_control,0,YS_0012,2020-10-05 18:00:00,영서 내륙형,10,18,2020-10-05,12.96,54.35,0.6149220379328034,0.6819231235158104,-0.8845115660111226,0.1774193548387097,-0.6551067948898429,0.24193548387096775,0.8717936492681737,0.8387096774193549
FE_00585_C03,FE_00585,3.0,matched_control,0,YS_0012,2020-10-14 18:00:00,영서 내륙형,10,18,2020-10-14,13.67,35.7,0.42201893580966704,1.0060630874063476,-2.161430168411569,0.04838709677419355,-1.2386485343384255,0.11290322580645161,2.413544635605663,1.0
FE_00585_C04,FE_00585,4.0,matched_control,0,YS_0012,2020-10-17 18:00:00,영서 내륙형,10,18,2020-10-17,11.05,70.97,0.7127031999794687,0.38233680057549235,0.2534180410610175,0.5483870967741935,-0.3593137840050728,0.45161290322580644,-0.5531695158490947,0.2903225806451613
FE_00585_C05,FE_00585,5.0,matched_control,0,YS_0012,2020-10-19 18:00:00,영서 내륙형,10,18,2020-10-19,12.39,68.97,0.753202329557019,0.4465203412964739,0.1164830702942136,0.5,-0.23680184791007125,0.5645161290322581,-0.24788461353256627,0.4838709677419355
FE_00586_C01,FE_00586,1.0,matched_control,0,YS_0012,2020-11-17 11:00:00,영서 내륙형,11,11,2020-11-17,6.78,93.55,0.7146259467818343,0.0636480695823397,1.3672241381367192,0.8666666666666667,0.8864985549537726,0.7833333333333333,-1.2273751566450632,0.15
FE_00586_C02,FE_00586,2.0,matched_control,0,YS_0012,2020-11-18 11:00:00,영서 내륙형,11,11,2020-11-18,13.33,90.07,1.0426498629577086,0.15196478953068993,1.215763308963139,0.8166666666666667,2.2253433527393622,0.9833333333333333,-0.8939793009345226,0.21666666666666667
FE_00586_C03,FE_00586,3.0,matched_control,0,YS_0012,2020-11-20 11:00:00,영서 내륙형,11,11,2020-11-20,3.27,69.11,0.41846981850315323,0.2385897088918537,0.30351647577973817,0.6666666666666666,-0.32227639139996067,0.45,-0.5669699969979437,0.2833333333333333
FE_00586_C04,FE_00586,4.0,matched_control,0,YS_0012,2020-11-25 11:00:00,영서 내륙형,11,11,2020-11-25,0.77,78.31,0.40012494790067404,0.14008859845718546,0.7039301621006968,0.75,-0.39715182993051706,0.43333333333333335,-0.9388119542288081,0.2
FE_00586_C05,FE_00586,5.0,matched_control,0,YS_0012,2020-11-28 11:00:00,영서 내륙형,11,11,2020-11-28,2.03,37.46,0.20859887961649434,0.4422420457707598,-1.0739936516179072,0.15,-1.1788743431911561,0.11666666666666667,0.20181812331383792,0.6166666666666667
FE_00587_C01,FE_00587,1.0,matched_control,0,YS_0012,2020-11-17 18:00:00,영서 내륙형,11,18,2020-11-17,13.13,70.98,0.8115705730945373,0.43834877960598106,0.7450196442479292,0.7333333333333333,1.553268669060033,0.95,0.16205702335256222,0.5666666666666667
FE_00587_C02,FE_00587,2.0,matched_control,0,YS_0012,2020-11-19 18:00:00,영서 내륙형,11,18,2020-11-19,12.96,69.06,0.7813526391837977,0.46218404034127425,0.6290711120511723,0.7166666666666667,1.4130962823408126,0.9333333333333333,0.30000313766361675,0.65
FE_00587_C03,FE_00587,3.0,matched_control,0,YS_0012,2020-11-20 18:00:00,영서 내륙형,11,18,2020-11-20,2.76,63.18,0.36964717971731165,0.27428375695584295,0.27397873219860414,0.5833333333333334,-0.49668805464327165,0.3333333333333333,-0.7874661482328866,0.25
FE_00587_C04,FE_00587,4.0,matched_control,0,YS_0012,2020-11-22 18:00:00,영서 내륙형,11,18,2020-11-22,6.16,63.29,0.4642621570803137,0.3470884382227838,0.28062161685570997,0.6,-0.057796129221345055,0.5,-0.3661104518985761,0.38333333333333336
FE_00587_C05,FE_00587,5.0,matched_control,0,YS_0012,2020-11-27 18:00:00,영서 내륙형,11,18,2020-11-27,1.71,59.88,0.32626817384667656,0.2772722940860586,0.07469219248542841,0.5166666666666667,-0.6979109047678115,0.3,-0.7701700469161882,0.26666666666666666
FE_00588_C01,FE_00588,1.0,matched_control,0,YS_0012,2020-12-14 17:00:00,영서 내륙형,12,17,2020-12-14,-8.32,32.22,0.08597645554524841,0.22103641829926504,-0.8734486117067354,0.25806451612903225,-1.2743999849779704,0.12903225806451613,-0.8432625681777283,0.16129032258064516
FE_00588_C02,FE_00588,2.0,matched_control,0,YS_0012,2020-12-15 17:00:00,영서 내륙형,12,17,2020-12-15,-7.53,24.31,0.06878122879387508,0.2624976004473483,-1.3114052902537021,0.08064516129032258,-1.3966579691695573,0.04838709677419355,-0.5313115795369581,0.3064516129032258
FE_00588_C03,FE_00588,3.0,matched_control,0,YS_0012,2020-12-23 17:00:00,영서 내륙형,12,17,2020-12-23,4.86,67.09,0.45171731987202773,0.2842747848806195,1.0572150268435467,0.8548387096774194,1.3260159011056232,0.8870967741935484,-0.3674615911428042,0.41935483870967744
FE_00588_C04,FE_00588,4.0,matched_control,0,YS_0012,2020-12-24 17:00:00,영서 내륙형,12,17,2020-12-24,1.76,30.24,0.16533057942862095,0.483848611851043,-0.9830762000155843,0.20967741935483872,-0.7101925241780851,0.3064516129032258,1.1341177031447258,0.8548387096774194
FE_00588_C05,FE_00588,5.0,matched_control,0,YS_0012,2020-12-31 17:00:00,영서 내륙형,12,17,2020-12-31,-5.93,34.33,0.10922377370573427,0.25764424058753205,-0.7566232524483157,0.3548387096774194,-1.1091116583245004,0.1774193548387097,-0.5678279142881395,0.24193548387096775
