analysis_id,fire_exposure_id,control_rank,sample_group,target,기상셀ID,기준시각,기후지형유형,month,hour,date,matched_control_n,full_5_matched,is_less_than_5_matched,is_february,is_2021_feb_cluster,is_ys0071,has_exact_hourly_row
FE_00124,FE_00124,,fire,1,YD_0005,2021-01-30 13:00:00,영동 해안형,1,13,2021-01-30,5,True,False,False,False,False,True
FE_00125,FE_00125,,fire,1,YD_0005,2021-02-01 10:00:00,영동 해안형,2,10,2021-02-01,5,True,False,True,True,False,True
FE_00126,FE_00126,,fire,1,YD_0005,2021-02-02 11:00:00,영동 해안형,2,11,2021-02-02,5,True,False,True,True,False,True
FE_00127,FE_00127,,fire,1,YD_0005,2021-02-11 17:00:00,영동 해안형,2,17,2021-02-11,5,True,False,True,True,False,True
FE_00128,FE_00128,,fire,1,YD_0005,2021-02-11 18:00:00,영동 해안형,2,18,2021-02-11,5,True,False,True,True,False,True
FE_00129,FE_00129,,fire,1,YD_0005,2021-02-13 16:00:00,영동 해안형,2,16,2021-02-13,5,True,False,True,True,False,True
FE_00130,FE_00130,,fire,1,YD_0005,2021-02-14 14:00:00,영동 해안형,2,14,2021-02-14,5,True,False,True,True,False,True
FE_00131,FE_00131,,fire,1,YD_0005,2021-02-18 11:00:00,영동 해안형,2,11,2021-02-18,5,True,False,True,True,False,True
FE_00132,FE_00132,,fire,1,YD_0005,2021-02-20 12:00:00,영동 해안형,2,12,2021-02-20,5,True,False,True,True,False,True
FE_00133,FE_00133,,fire,1,YD_0005,2021-02-21 08:00:00,영동 해안형,2,8,2021-02-21,5,True,False,True,True,False,True
FE_00134,FE_00134,,fire,1,YD_0005,2021-02-21 16:00:00,영동 해안형,2,16,2021-02-21,5,True,False,True,True,False,True
FE_00135,FE_00135,,fire,1,YD_0005,2021-02-25 11:00:00,영동 해안형,2,11,2021-02-25,5,True,False,True,True,False,True
FE_00136,FE_00136,,fire,1,YD_0005,2021-02-25 15:00:00,영동 해안형,2,15,2021-02-25,5,True,False,True,True,False,True
FE_00137,FE_00137,,fire,1,YD_0005,2021-03-19 11:00:00,영동 해안형,3,11,2021-03-19,5,True,False,False,False,False,True
FE_00138,FE_00138,,fire,1,YD_0005,2021-03-26 22:00:00,영동 해안형,3,22,2021-03-26,5,True,False,False,False,False,True
FE_00139,FE_00139,,fire,1,YD_0005,2021-04-02 08:00:00,영동 해안형,4,8,2021-04-02,5,True,False,False,False,False,True
FE_00140,FE_00140,,fire,1,YD_0005,2021-04-20 17:00:00,영동 해안형,4,17,2021-04-20,5,True,False,False,False,False,True
FE_00141,FE_00141,,fire,1,YD_0005,2021-04-27 16:00:00,영동 해안형,4,16,2021-04-27,5,True,False,False,False,False,True
FE_00142,FE_00142,,fire,1,YD_0005,2021-05-20 08:00:00,영동 해안형,5,8,2021-05-20,5,True,False,False,False,False,True
FE_00143,FE_00143,,fire,1,YD_0006,2020-01-03 11:00:00,영동 해안형,1,11,2020-01-03,5,True,False,False,False,False,True
FE_00144,FE_00144,,fire,1,YD_0006,2020-02-24 17:00:00,영동 해안형,2,17,2020-02-24,5,True,False,True,False,False,True
FE_00145,FE_00145,,fire,1,YD_0006,2020-03-15 14:00:00,영동 해안형,3,14,2020-03-15,5,True,False,False,False,False,True
