기후지형유형,계절,기상변수,FWI지수,N_셀일,Spearman_rho,p_value,q_FDR_global
영동 해안형,여름,기온_C,DMC,3864,0.0956766196812762,2.5361193836623904e-09,2.993452387273641e-09
영동 해안형,여름,기온_C,DC,3864,0.14425099370744507,2.0407136948377384e-19,2.544266424732765e-19
영동 해안형,여름,기온_C,ISI,3864,0.36738414863454194,8.887456917556743e-124,1.6098035171423535e-123
영동 해안형,여름,기온_C,BUI,3864,0.11059855946152267,5.42987250751077e-12,6.598326085076379e-12
영동 해안형,여름,기온_C,FWI,3864,0.29606051087722296,5.0827128296417585e-79,7.955550515961013e-79
영동 해안형,여름,습도_pct,FFMC,3864,-0.7208208604093373,0.0,0.0
영동 해안형,여름,습도_pct,DMC,3864,-0.5015532384331937,2.5696615453030684e-245,6.607701116493604e-245
영동 해안형,여름,습도_pct,DC,3864,-0.3337310738221098,3.6169616088090904e-101,6.021300250502995e-101
영동 해안형,여름,습도_pct,ISI,3864,-0.732334940390886,0.0,0.0
영동 해안형,여름,습도_pct,BUI,3864,-0.4707302563035214,2.301614859028173e-212,5.478223796695156e-212
영동 해안형,여름,습도_pct,FWI,3864,-0.6832199059642075,0.0,0.0
영동 해안형,여름,풍속_km_h,FFMC,3864,0.27522500736526023,4.054969263009836e-68,6.114299202862999e-68
영동 해안형,여름,풍속_km_h,DMC,3864,0.2775893052018991,2.6153570995839825e-69,4.006504492979718e-69
영동 해안형,여름,풍속_km_h,DC,3864,0.18915950833307266,1.8692601474720603e-32,2.4808613938799696e-32
영동 해안형,여름,풍속_km_h,ISI,3864,0.3853154689401148,5.496873178737149e-137,1.0484102486598006e-136
영동 해안형,여름,풍속_km_h,BUI,3864,0.2620209517492613,1.0995657527890348e-61,1.6239740348884206e-61
영동 해안형,여름,풍속_km_h,FWI,3864,0.3611136010717406,2.3615944996008432e-119,4.224467179410204e-119
영동 해안형,여름,강수량_mm,FFMC,3864,-0.7847999438353067,0.0,0.0
영동 해안형,여름,강수량_mm,DMC,3864,-0.539271755601103,1.5640474935424597e-290,4.504456781402284e-290
영동 해안형,여름,강수량_mm,DC,3864,-0.4165441223164703,4.732947650111561e-162,9.667297327887443e-162
영동 해안형,여름,강수량_mm,ISI,3864,-0.7694828594241054,0.0,0.0
영동 해안형,여름,강수량_mm,BUI,3864,-0.5246363560450016,2.627593648790206e-272,7.347057969432808e-272
영동 해안형,여름,강수량_mm,FWI,3864,-0.7305404918929839,0.0,0.0
영서 내륙형,가을,기온_C,FFMC,8008,0.011059995603601415,0.3223665714498768,0.3327654931095502
영서 내륙형,가을,기온_C,DMC,8008,-0.1431133068645286,6.542390533373997e-38,8.846049171885967e-38
영서 내륙형,가을,기온_C,DC,8008,-0.3682061048662441,1.2640361189202512e-255,3.4022654415797418e-255
영서 내륙형,가을,기온_C,ISI,8008,0.006211333871149271,0.578378425775851,0.5885971258778978
영서 내륙형,가을,기온_C,BUI,8008,-0.18074790140129984,8.856417431462055e-60,1.301351132786261e-59
영서 내륙형,가을,기온_C,FWI,8008,-0.05939905284903053,1.0414684985377022e-07,1.1902497126145167e-07
영서 내륙형,가을,습도_pct,FFMC,8008,-0.7052803649748881,0.0,0.0
영서 내륙형,가을,습도_pct,DMC,8008,-0.5023138146213351,0.0,0.0
영서 내륙형,가을,습도_pct,DC,8008,-0.3090527828447952,8.64970318224791e-177,1.8590406839458196e-176
영서 내륙형,가을,습도_pct,ISI,8008,-0.716523139056598,0.0,0.0
영서 내륙형,가을,습도_pct,BUI,8008,-0.48892749913033895,0.0,0.0
영서 내륙형,가을,습도_pct,FWI,8008,-0.676503975567893,0.0,0.0
영서 내륙형,가을,풍속_km_h,FFMC,8008,0.06861938970911743,7.903179864550613e-10,9.405437194175937e-10
영서 내륙형,가을,풍속_km_h,DMC,8008,0.027705183023868,0.013162043062062574,0.014197259932112438
영서 내륙형,가을,풍속_km_h,DC,8008,-0.12224687560939952,4.819647645340637e-28,6.280807791213138e-28
영서 내륙형,가을,풍속_km_h,ISI,8008,0.26925544219767183,4.784124147872707e-133,8.946933471346361e-133
영서 내륙형,가을,풍속_km_h,BUI,8008,0.01999929941132107,0.07352057421705284,0.07813256595760597
영서 내륙형,가을,풍속_km_h,FWI,8008,0.16201653580387093,3.126380782446843e-48,4.435456479530496e-48
영서 내륙형,가을,강수량_mm,FFMC,8008,-0.6617151507218734,0.0,0.0
영서 내륙형,가을,강수량_mm,DMC,8008,-0.4441875596749074,0.0,0.0
영서 내륙형,가을,강수량_mm,DC,8008,-0.3524484321853589,6.459854900883815e-233,1.6319633433811745e-232
영서 내륙형,가을,강수량_mm,ISI,8008,-0.6373289093332881,0.0,0.0
영서 내륙형,가을,강수량_mm,BUI,8008,-0.439367052580104,0.0,0.0
영서 내륙형,가을,강수량_mm,FWI,8008,-0.6276719464077857,0.0,0.0
영서 내륙형,겨울,기온_C,FFMC,7964,0.14874553391511783,1.24213785711662e-40,1.6954298713250547e-40
영서 내륙형,겨울,기온_C,DMC,7964,-0.007766307614439269,0.48832421887322036,0.49871409587052296
영서 내륙형,겨울,기온_C,DC,7964,-0.07392445424986893,3.972133152174537e-11,4.786503547390237e-11
영서 내륙형,겨울,기온_C,ISI,7964,0.06354096188281674,1.3842978562420382e-08,1.607571704023012e-08
영서 내륙형,겨울,기온_C,BUI,7964,-0.02347954736785509,0.036143977827045766,0.03869689819401182
영서 내륙형,겨울,기온_C,FWI,7964,0.015976514160774696,0.1539748215346266,0.16184214818238127
영서 내륙형,겨울,습도_pct,FFMC,7964,-0.5060271211739291,0.0,0.0
영서 내륙형,겨울,습도_pct,DMC,7964,-0.3160277117920794,3.4166083160327e-184,7.454418144071347e-184
영서 내륙형,겨울,습도_pct,DC,7964,-0.1945716895351216,8.626867539351069e-69,1.3145702917106391e-68
영서 내륙형,겨울,습도_pct,ISI,7964,-0.5369795502602833,0.0,0.0
영서 내륙형,겨울,습도_pct,BUI,7964,-0.3003389535026235,1.0724725361189718e-165,2.2545408058559407e-165
영서 내륙형,겨울,습도_pct,FWI,7964,-0.49586859216798385,0.0,0.0
영서 내륙형,겨울,풍속_km_h,FFMC,7964,0.04728665504944578,2.4255372857712283e-05,2.6867489934696683e-05
영서 내륙형,겨울,풍속_km_h,DMC,7964,0.044279237796023864,7.722495902420402e-05,8.456573459684699e-05
영서 내륙형,겨울,풍속_km_h,DC,7964,0.015813268133437305,0.15822619772922542,0.1657059816218797
영서 내륙형,겨울,풍속_km_h,ISI,7964,0.3670206606917876,1.7326067770999542e-252,4.577896805548503e-252
영서 내륙형,겨울,풍속_km_h,BUI,7964,0.0513695056353726,4.505501088374279e-06,5.0489662002015266e-06
영서 내륙형,겨울,풍속_km_h,FWI,7964,0.26762612016582127,1.0777831735748733e-130,2.00259067090041e-130
