fire_exposure_id,FFMC,DMC,DC,ISI,BUI,FWI,FFMC_10일평균,Indexed_FFMC,FFMC_논문식_발생확률,기상셀ID,기준시각,기후지형유형,month,hour,date,season
FE_00612,0.47900179898530837,-15.68826325738413,-19.774329676592835,-1.648946436535355,-15.664057489751507,-6.349991592361084,-7.759805298666819,-0.20000000000000018,-0.010274083150785374,YS_0014,2020-03-08 14:00:00,영서 내륙형,3,14,2020-03-08,봄(3-5월)
FE_00613,5.9656577373913535,13.35815793576803,16.14853241914821,2.8010298202283845,13.335149974514284,7.202783145047209,11.166393519199246,0.7999999999999998,0.07053373438860921,YS_0014,2020-03-24 13:00:00,영서 내륙형,3,13,2020-03-24,봄(3-5월)
FE_00614,-0.013515270444855787,-10.058482133855996,-29.965480000000056,-0.07402159332831593,-10.996550675341958,-1.4027966939186465,-0.9992561193023022,0.0,0.0,YS_0014,2020-10-06 13:00:00,영서 내륙형,10,13,2020-10-06,가을(9-11월)
FE_00615,-0.1275989708141907,-13.626344726047996,-40.94144000000003,0.0831255095760195,-14.941468716986236,-1.736909563209835,-1.0895960457800982,0.0,0.0,YS_0014,2020-10-09 06:00:00,영서 내륙형,10,6,2020-10-09,가을(9-11월)
FE_00616,-2.930286978124073,1.1625566854719978,5.168000000000035,-1.4669286302308366,1.533637518259738,-3.5260426920824344,-0.4685329171596777,0.0,0.0,YS_0014,2020-10-20 13:00:00,영서 내륙형,10,13,2020-10-20,가을(9-11월)
FE_00617,-5.2790740916711485,-0.9896637894400016,1.2165200000000027,-2.6423745129947784,-0.4844822675017184,-7.285298558020269,-1.1911077414155358,0.0,0.0,YS_0014,2020-10-21 14:00:00,영서 내륙형,10,14,2020-10-21,가을(9-11월)
FE_00618,-0.6172529110209979,10.853743978684768,13.163976222818434,-1.9120021080981333,9.413754514939285,-4.445953986816193,5.459376014059188,0.3999999999999999,0.03660914585273389,YS_0014,2020-11-02 09:00:00,영서 내륙형,11,9,2020-11-02,가을(9-11월)
FE_00619,-10.693102356695235,-0.5197089672798754,-5.408102793088451,-2.2353244832045407,-0.8123147663596217,-2.1436258574170566,-6.8353762078317,-0.6000000000000001,-0.05088688280381304,YS_0014,2021-02-01 09:00:00,영서 내륙형,2,9,2021-02-01,겨울(12-2월)
FE_00620,-12.893576011404193,-1.1150620236498758,-6.538382793088452,-2.775878965520877,-1.4242901903634584,-2.808606335304558,-5.559792964430713,-0.3999999999999999,-0.03392458853587532,YS_0014,2021-02-01 11:00:00,영서 내륙형,2,11,2021-02-01,겨울(12-2월)
FE_00621,-13.648982029694821,-1.847016098839875,-6.805782793088451,-3.7370903310763843,-2.0938078465607406,-4.04644483238781,-8.517206611837906,-0.7999999999999998,-0.06784917707175075,YS_0014,2021-02-02 09:00:00,영서 내륙형,2,9,2021-02-02,겨울(12-2월)
FE_00622,2.1602014412214743,-0.5626867022834681,-5.113565586176904,-0.2024711160078141,-0.8121698782506472,-0.6923302054266405,-7.810819171153355,-1.0,-0.08481147133968836,YS_0014,2021-02-02 14:00:00,영서 내륙형,2,14,2021-02-02,겨울(12-2월)
FE_00623,-2.494324532711019,-0.4627583380998761,-4.557542793088452,-0.9907355547427916,-0.6882227521196755,-1.4336907844399762,-5.791042759750937,-0.6000000000000001,-0.05088688280381304,YS_0014,2021-02-02 18:00:00,영서 내륙형,2,18,2021-02-02,겨울(12-2월)
FE_00624,11.644528579574242,5.168851649234728,12.880359999999996,1.9411870780467373,5.362662524479873,4.2419190605860155,-1.0487680456783437,0.20000000000000018,0.016962294267937605,YS_0014,2021-04-22 07:00:00,영서 내륙형,4,7,2021-04-22,봄(3-5월)
FE_00625,22.84198802430396,2.3704911092996888,4.059520000000001,2.6255639488144205,2.9450557471268852,2.3051001585107027,14.316780060892953,1.4,0.13079338562643295,YS_0015,2020-02-08 07:00:00,영서 내륙형,2,7,2020-02-08,겨울(12-2월)
FE_00626,-0.2694474784935039,-12.191796286606213,24.02440079759038,0.5251688070513332,-8.970952228605412,-0.7746278476645507,-12.894598537343114,-1.0,-0.08481147133968836,YS_0015,2020-04-24 13:00:00,영서 내륙형,4,13,2020-04-24,봄(3-5월)
FE_00627,8.722385416513916,30.689350437989003,57.53257190668164,1.782685409303657,28.50607660812009,7.797192701975727,12.006863297279068,1.0,0.09018058597340528,YS_0015,2020-05-06 19:00:00,영서 내륙형,5,19,2020-05-06,봄(3-5월)
FE_00628,10.355424929546274,47.01436928290271,95.1980685295231,6.828438986343889,44.596680112442996,20.117989748348613,18.073051627727665,1.4,0.12810882830957449,YS_0015,2020-05-08 15:00:00,영서 내륙형,5,15,2020-05-08,봄(3-5월)
FE_00629,-16.773863748729838,-0.7213068757027079,-2.182940481659408,-2.316628834158266,-0.8628971921463044,-2.9080592827327294,-12.498159057409396,-1.4,-0.12947428914299763,YS_0015,2021-02-02 13:00:00,영서 내륙형,2,13,2021-02-02,겨울(12-2월)
FE_00630,-0.45413279379599203,-7.702263379117872,-18.339063454125746,-2.4039599744172526,-7.920005229920642,-5.427335715472506,3.6900382090880726,0.3999999999999999,0.03392458853587532,YS_0015,2021-04-14 14:00:00,영서 내륙형,4,14,2021-04-14,봄(3-5월)
FE_00631,-7.566525520811162,-5.867974262597043,-49.610492916695605,-0.6875634420852088,-8.183801459539795,-1.5482990164458448,-1.9436639140624834,-0.20000000000000018,-0.015643197784502294,YS_0015,2021-05-05 13:00:00,영서 내륙형,5,13,2021-05-05,봄(3-5월)
FE_00632,0.1821304685923053,-2.886973402919999,-6.940680000000015,-0.4521293217737137,-3.278382217749069,-1.3495881853472103,0.21379249166068348,0.3999999999999999,0.03392458853587532,YS_0016,2021-02-09 12:00:00,고지·산간형,2,12,2021-02-09,겨울(12-2월)
FE_00633,8.754537884559639,0.019347782982151784,-1.3664022521620254,1.2841242312191583,-0.1754717558807961,1.6850711300715613,0.15099933634171236,0.6000000000000001,0.0535714401206715,YS_0016,2021-04-21 12:00:00,고지·산간형,4,12,2021-04-21,봄(3-5월)
FE_00634,10.762352683101952,0.7802975824885703,-8.780382059368257,-0.8034778365659718,0.05570308042029737,-2.188609811472179,2.6851692957121713,0.0,0.0013190964834354224,YS_0016,2021-05-04 15:00:00,고지·산간형,5,15,2021-05-04,봄(3-5월)
FE_00635,-4.720651911459996,-7.196149091044667,-10.27112,-2.3381115230016456,-7.270548186248487,-3.8128998420113067,-5.884744939839607,0.0,0.0053691146337169204,YS_0017,2020-03-14 09:00:00,영서 내륙형,3,9,2020-03-14,봄(3-5월)
FE_00636,5.051902869703426,23.513482933339553,27.15115813506396,1.2769525716073433,23.297720698883957,7.2069771470121164,1.7670040466961439,0.0,0.0,YS_0017,2020-04-16 15:00:00,영서 내륙형,4,15,2020-04-16,봄(3-5월)
FE_00637,-3.8283667196870255,-13.166998361101353,19.758061144919992,-0.3504740408399698,-9.642128099245436,-2.7075277778798714,-16.62962179135809,-0.7999999999999998,-0.06784917707175075,YS_0017,2020-04-24 12:00:00,영서 내륙형,4,12,2020-04-24,봄(3-5월)
FE_00638,26.30728055982472,23.419164574113054,69.91429135300389,1.1578717260969715,25.45420803388948,4.512538199256231,19.77124432288221,1.7999999999999998,0.16872162796260215,YS_0017,2020-05-03 13:00:00,영서 내륙형,5,13,2020-05-03,봄(3-5월)
FE_00639,22.022480438819102,25.210980169315313,60.970235636417044,1.5024636880936737,25.610571982053763,5.469176415629522,21.122022231838486,2.0,0.18836847954739833,YS_0017,2020-05-04 17:00:00,영서 내륙형,5,17,2020-05-04,봄(3-5월)
FE_00640,2.415303075319443,-5.05581651631932,-9.22882522634454,-0.9003207186069784,-6.292142857443569,-1.9273804036581874,-13.860974641171921,-1.4,-0.12947428914299763,YS_0017,2021-03-08 09:00:00,영서 내륙형,3,9,2021-03-08,봄(3-5월)
FE_00641,34.06324275724908,5.082596841345911,-3.454190018522251,4.99341720255981,4.93669882993812,7.578763176599849,0.3678809052479295,-0.20000000000000018,-0.014277736951079145,YS_0017,2021-04-08 15:00:00,영서 내륙형,4,15,2021-04-08,봄(3-5월)
FE_00642,7.866688081388716,-5.946438207423942,-19.836069875894754,2.929046762465271,-6.126618684687472,3.327941076850287,-2.3082923081418727,-0.3999999999999999,-0.03392458853587532,YS_0017,2021-04-08 16:00:00,영서 내륙형,4,16,2021-04-08,봄(3-5월)
FE_00643,13.616153014340213,2.7831093569807877,-8.433304154113742,2.271205960529045,0.7014910736488211,3.1018368987141933,1.149174888619143,-0.20000000000000018,-0.011593179634220685,YS_0018,2021-03-31 15:00:00,영서 내륙형,3,15,2021-03-31,봄(3-5월)
FE_00644,19.488176264178946,7.776339222476187,1.5522926767090084,2.626071616257323,5.5045812980928766,4.438742253262527,8.711526082935151,0.3999999999999999,0.041978260486450814,YS_0018,2021-03-31 16:00:00,영서 내륙형,3,16,2021-03-31,봄(3-5월)
FE_00645,6.413978983678675,-15.079511143321124,7.871492606469587,-0.7017866583791843,-14.574422729479323,-4.437872812641253,-5.118173867190549,-0.7999999999999998,-0.06784917707175075,YS_0018,2021-04-01 09:00:00,영서 내륙형,4,9,2021-04-01,봄(3-5월)
FE_00646,5.141512115851185,3.729117825019366,11.45534246837848,0.9755642551262449,4.247106879804585,1.8383514266864682,6.767801580623853,0.6000000000000001,0.0535714401206715,YS_0019,2020-01-04 14:00:00,고지·산간형,1,14,2020-01-04,겨울(12-2월)
FE_00647,6.673092923948687,-0.6590768084305689,0.537355063243039,0.24045407056091372,-0.2192338521829722,-0.3210085661583917,1.0762390874056678,0.0,0.0026845573168584602,YS_0019,2020-02-02 09:00:00,고지·산간형,2,9,2020-02-02,겨울(12-2월)
FE_00648,0.7273426121626159,11.810820691743999,31.090160000000026,-1.2541360183432229,12.815989843515801,-0.46870227804896736,6.372535697520718,0.6000000000000001,0.05088688280381304,YS_0019,2020-10-21 14:00:00,고지·산간형,10,14,2020-10-21,가을(9-11월)
FE_00649,2.5567313089286614,21.838089948032,55.16983999999999,0.4471509491196972,23.07020331253917,4.880066377183795,5.890555545873681,0.3999999999999999,0.03392458853587532,YS_0019,2020-10-29 14:00:00,고지·산간형,10,14,2020-10-29,가을(9-11월)
FE_00650,1.064051606932253,-3.3695581917300004,-6.175399999999996,-2.115365822870888,-4.36026093333739,-4.710290690645144,-1.7499282941567458,0.0,0.0,YS_0019,2021-02-01 11:00:00,고지·산간형,2,11,2021-02-01,겨울(12-2월)
FE_00651,-5.479471730381391,-4.0308582162899995,-6.482279999999946,-0.8716727101525161,-5.120707582752388,-2.305693090871631,-2.7230221538112858,0.0,0.0,YS_0019,2021-02-03 11:00:00,고지·산간형,2,11,2021-02-03,겨울(12-2월)
FE_00652,1.488137495503011,3.9216454886399994,7.333319999999986,5.75132590700488,4.937485716068998,10.374730099982601,0.18650179909101894,0.0,0.0,YS_0019,2021-02-23 09:00:00,고지·산간형,2,9,2021-02-23,겨울(12-2월)
FE_00653,3.196546601756168,17.39955571031317,105.7921383437719,1.4397584203319944,24.87010905198746,7.119332799084455,11.85852261605909,1.0,0.09018058597340528,YS_0019,2021-03-01 01:00:00,고지·산간형,3,1,2021-03-01,봄(3-5월)
FE_00654,-0.6720910449969182,10.359402612832891,93.00314824642882,-2.474606138351481,17.20429370368714,-0.3364996837829306,7.393856429754322,0.3999999999999999,0.03660914585273389,YS_0019,2021-03-01 09:00:00,고지·산간형,3,9,2021-03-01,봄(3-5월)
FE_00655,8.893080791973532,-0.6655270480978004,-14.946942795507084,5.926111099830781,-1.4195702742109937,8.505288371767229,0.7593831583726143,0.6000000000000001,0.0535714401206715,YS_0019,2021-03-31 15:00:00,고지·산간형,3,15,2021-03-31,봄(3-5월)
