월,시간,기후지형유형,번지유형,건수,비율_pct
11,21,영서 내륙형,일반번지,1,0.029403116730373418
12,3,영동 해안형,일반번지,2,0.058806233460746836
12,9,영동 해안형,임야번지(산),1,0.029403116730373418
12,9,영동 해안형,일반번지,10,0.29403116730373424
12,9,고지·산간형,일반번지,1,0.029403116730373418
12,10,영동 해안형,일반번지,37,1.0879153190238164
12,10,영서 내륙형,임야번지(산),9,0.26462805057336075
12,10,영서 내륙형,일반번지,11,0.3234342840341076
12,10,고지·산간형,일반번지,15,0.4410467509556013
12,11,영동 해안형,일반번지,4,0.11761246692149367
12,11,영서 내륙형,임야번지(산),2,0.058806233460746836
12,11,영서 내륙형,일반번지,1,0.029403116730373418
12,11,고지·산간형,일반번지,1,0.029403116730373418
12,12,영동 해안형,일반번지,1,0.029403116730373418
12,12,영서 내륙형,임야번지(산),2,0.058806233460746836
12,12,영서 내륙형,일반번지,1,0.029403116730373418
12,13,영동 해안형,일반번지,1,0.029403116730373418
12,13,영서 내륙형,일반번지,1,0.029403116730373418
12,13,고지·산간형,일반번지,1,0.029403116730373418
12,14,영동 해안형,일반번지,5,0.14701558365186712
12,15,영서 내륙형,임야번지(산),2,0.058806233460746836
12,16,영동 해안형,임야번지(산),1,0.029403116730373418
12,16,영동 해안형,일반번지,2,0.058806233460746836
12,16,영서 내륙형,임야번지(산),2,0.058806233460746836
12,16,영서 내륙형,일반번지,1,0.029403116730373418
12,17,영서 내륙형,일반번지,1,0.029403116730373418
12,18,영동 해안형,일반번지,2,0.058806233460746836
12,19,영서 내륙형,임야번지(산),1,0.029403116730373418
12,20,영서 내륙형,임야번지(산),1,0.029403116730373418
12,20,영서 내륙형,일반번지,1,0.029403116730373418
12,21,영서 내륙형,임야번지(산),2,0.058806233460746836
12,22,영동 해안형,일반번지,1,0.029403116730373418
12,22,영서 내륙형,일반번지,1,0.029403116730373418
