fire_exposure_id,기상셀ID,기준시각,year,month,hour,date,climate_type,raw_event_n,fire_ids,match_key,base_pool_n,canadian_pool_n,matched_control_n,min_abs_date_diff_days,median_abs_date_diff_days,max_abs_date_diff_days,min_abs_time_diff_hours,median_abs_time_diff_hours,max_abs_time_diff_hours,full_5_matched,match_status
FE_00067,YD_0003,2020-10-14 14:00:00,2020,10,14,2020-10-14,영동 해안형,1,F_007863,YD_0003|2020|10|14,18,18,5,7,9.0,12,168.0,216.0,288.0,True,full_5
FE_00068,YD_0003,2020-10-14 15:00:00,2020,10,15,2020-10-14,영동 해안형,1,F_007864,YD_0003|2020|10|15,19,19,5,4,11.0,13,96.0,264.0,312.0,True,full_5
FE_00069,YD_0003,2020-10-15 09:00:00,2020,10,9,2020-10-15,영동 해안형,1,F_007905,YD_0003|2020|10|9,18,18,5,6,10.0,11,144.0,240.0,264.0,True,full_5
FE_00070,YD_0003,2020-10-15 10:00:00,2020,10,10,2020-10-15,영동 해안형,1,F_007907,YD_0003|2020|10|10,18,18,5,4,9.0,12,96.0,216.0,288.0,True,full_5
FE_00071,YD_0003,2020-10-15 11:00:00,2020,10,11,2020-10-15,영동 해안형,1,F_007908,YD_0003|2020|10|11,18,18,5,7,10.0,12,168.0,240.0,288.0,True,full_5
FE_00072,YD_0003,2020-10-15 13:00:00,2020,10,13,2020-10-15,영동 해안형,1,F_007910,YD_0003|2020|10|13,18,18,5,7,10.0,13,168.0,240.0,312.0,True,full_5
FE_00073,YD_0003,2020-10-15 14:00:00,2020,10,14,2020-10-15,영동 해안형,1,F_007911,YD_0003|2020|10|14,18,18,5,8,9.0,14,192.0,216.0,336.0,True,full_5
FE_00074,YD_0003,2020-10-15 15:00:00,2020,10,15,2020-10-15,영동 해안형,1,F_007942,YD_0003|2020|10|15,19,19,5,6,10.0,13,144.0,240.0,312.0,True,full_5
FE_00075,YD_0003,2020-10-15 16:00:00,2020,10,16,2020-10-15,영동 해안형,1,F_007932,YD_0003|2020|10|16,19,19,5,6,12.0,13,144.0,288.0,312.0,True,full_5
FE_00076,YD_0003,2020-10-16 09:00:00,2020,10,9,2020-10-16,영동 해안형,1,F_008003,YD_0003|2020|10|9,18,18,5,7,10.0,12,168.0,240.0,288.0,True,full_5
FE_00077,YD_0003,2020-10-16 10:00:00,2020,10,10,2020-10-16,영동 해안형,1,F_008004,YD_0003|2020|10|10,18,18,5,6,10.0,13,144.0,240.0,312.0,True,full_5
