fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,상대강수부족_score,상대강풍_score,단기상대건조_score
F_007682,2020-03-15 14:00:00,YS_0009,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,14,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.23088161461209644,0.33047014271311276,-0.7041476202017133
F_007683,2020-03-16 11:00:00,YS_0010,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,11,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,-0.2544574678930743,0.3150896348245491,0.2288690958874448
F_007684,2020-03-16 11:00:00,YS_0010,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,11,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,비인접,기타 인간활동 발화 후보,0.024445151732826062,0.23953290689929757,1.4750669627005812
F_007685,2020-03-16 21:00:00,YS_0002,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,21,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.29758805019712875,0.3411497255007938,0.12627359406229738
F_007686,2020-03-19 12:00:00,YS_0064,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,12,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.039619808620702586,2.293235339858675,-0.23365277456318997
F_007687,2020-03-19 08:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,8,산불위험계절(11~5월),아침(6~9시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.19093733445159475,0.6589523026454561,-0.6757969536567506
F_007688,2020-03-19 13:00:00,YS_0064,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,13,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.12191555442758316,1.9946278930799555,-0.7076186568675701
F_007689,2020-03-19 12:00:00,YS_0064,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,12,산불위험계절(11~5월),한낮(10~13시),산림지역,활엽수림,도로/시가화/농업 인접,입산활동 발화 후보,0.15304249521897526,2.2102964362010087,-0.1973747701037662
F_007690,2020-03-19 21:00:00,YS_0029,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,21,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.049577437197822295,3.912052838778652,-1.407608837448151
F_007691,2020-03-19 07:00:00,YS_0064,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,7,산불위험계절(11~5월),아침(6~9시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,1.6683768530390637,0.3369631082518345,0.8413340799726042
F_007692,2020-03-21 15:00:00,YS_0022,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),3,15,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,1.8426152936364535,-0.34916484937195963,0.42872631877674655
