source_index,fire_id,발생일시,기상셀ID,기후권역,기후지형유형,addr_type,기후지형_번지유형,월_key,시간_key,산불위험계절,발생시간대구분,L1_NAME,L2_NAME,생활권프록시,원인프록시_500m,생활권접점_score,선행건조_score,강풍_score,강수부족_score,산지접근성_score
3142,F_010813,2020-03-25 16:00:00,YS_0068,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,3,16,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,0.3227186897918012,1.0484659960015823,-0.2571040758309073,0.11503566576084917,2.020770955272681
3143,F_010815,2020-03-25 23:00:00,YS_0068,영서,고지·산간형,일반번지,고지·산간형 / 일반번지,3,23,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,0.8189658084914682,0.8051337159631082,-0.4463121225993361,0.03416968483855435,2.0387783833352433
3144,F_010816,2020-03-26 18:00:00,YD_0001,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,3,18,산불위험계절(11~5월),저녁(18~23시),농업지역,밭,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.1784674682988716,-0.650252679688083,-0.5963371538086846,0.25775516739568677,-0.8869272515101602
3146,F_010819,2020-03-26 05:00:00,YD_0003,영동,영동 해안형,임야번지(산),영동 해안형 / 임야번지(산),3,5,산불위험계절(11~5월),야간(0~5시),초지,인공초지,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.3669085430950216,-0.8652414531653256,-0.5444656252990698,0.27955558632606176,-0.5425646860867892
3147,F_010823,2020-03-26 11:00:00,YD_0008,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,3,11,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,상업지역,도로/시가화/농업 인접,입산활동 발화 후보,0.2753011470561346,-0.6512739526344136,-0.19655492070070274,0.1706829019821059,1.3908320449974492
3150,F_010827,2020-03-28 19:00:00,YS_0069,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,19,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,상업지역,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.17447229592232208,0.3226293328419081,-0.5582969479674722,-0.38887943409904446,-0.6146352524429136
3151,F_010828,2020-03-28 19:00:00,YS_0024,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,3,19,산불위험계절(11~5월),저녁(18~23시),농업지역,논,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.23699836438875416,-1.374780308544459,-0.191148517236369,-0.8499949581340859,-0.20085222118484064
3153,F_010831,2020-04-01 11:00:00,YS_0013,영서,고지·산간형,임야번지(산),고지·산간형 / 임야번지(산),4,11,산불위험계절(11~5월),한낮(10~13시),산림지역,침엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.7975708668102643,0.2991851865378123,-0.5836172665322928,0.1160533056399362,0.9660577562810316
3155,F_010836,2020-04-02 19:00:00,YS_0002,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,19,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.6270002685364349,0.7832028734128432,-0.12424347047070056,0.21611005599607017,-0.5131640287965353
3156,F_010837,2020-04-03 14:00:00,YS_0050,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,14,산불위험계절(11~5월),오후(14~17시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.7630864711739634,1.113458255084328,0.4273547256790384,0.10008927070193682,0.43633837835526446
3157,F_010839,2020-04-04 16:00:00,YS_0037,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,16,산불위험계절(11~5월),오후(14~17시),산림지역,활엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.5846136630331469,1.1652075373317095,0.07816453479894055,0.12747727651979865,0.2050690616785173
3158,F_010840,2020-04-04 18:00:00,YD_0001,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,4,18,산불위험계절(11~5월),저녁(18~23시),산림지역,침엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-0.34102475746825056,0.9684041391452665,1.2350712921045328,0.0035444759121729674,-0.6701777853207728
3159,F_010842,2020-04-04 03:00:00,YD_0011,영동,영동 해안형,일반번지,영동 해안형 / 일반번지,4,3,산불위험계절(11~5월),야간(0~5시),산림지역,침엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.420155333583159,0.7853055743476501,0.9861069790403618,0.04043075569160251,-0.09854068438420739
3160,F_010843,2020-04-04 05:00:00,YS_0023,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,5,산불위험계절(11~5월),야간(0~5시),산림지역,침엽수림,도로/시가화/농업 인접,기타 인간활동 발화 후보,-1.2269686229989052,0.30445563292382155,-0.564906470657937,-0.6092791585279481,-0.7348122479519181
3161,F_010845,2020-04-04 20:00:00,YS_0024,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,20,산불위험계절(11~5월),저녁(18~23시),시가화건조지역,도로,도로/시가화/농업 인접,입산활동 발화 후보,0.3947966525836302,0.9670826615921622,0.18826253799787512,-0.06398552242998591,3.5111854531578226
3162,F_010851,2020-04-06 10:00:00,YS_0002,영서,영서 내륙형,일반번지,영서 내륙형 / 일반번지,4,10,산불위험계절(11~5월),한낮(10~13시),시가화건조지역,도로,도로/시가화/농업 인접,기타 인간활동 발화 후보,0.7889650642167922,1.5344924679012772,-0.6332795856692891,0.11254141971608282,-0.5818751019282858
3163,F_010853,2020-04-06 16:00:00,YS_0004,영서,영서 내륙형,임야번지(산),영서 내륙형 / 임야번지(산),4,16,산불위험계절(11~5월),오후(14~17시),초지,인공초지,도로/시가화/농업 인접,입산활동 발화 후보,-1.704398662836197,1.295396520851104,0.027081325007169844,0.2451033335301441,0.27846427414852437
